ID,Record Date,Org Name (name of org/page),English Name (translation),Description (purpose),Main Language,Base Country,Location,Media Type,Link,Members/Likes,Status/last post
67,2015-12-9,RWT Møre og Romsdal,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Møre og Romsdal,FB Closed Group,https://www.facebook.com/groups/refugeesmr/, 576,Active
76,2015-12-9,RWT Narvik,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Nordland,FB Community,https://www.facebook.com/refugeeswelcometonarvik, 267,Active
42,2015-12-9,RWT Nesodden,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Akershus,FB Closed Group,https://www.facebook.com/groups/416135235177929/, 560,Active
69,2015-12-9,RWT Nord-Trøndelag,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Nord-Trøndelag,FB Closed Group,https://www.facebook.com/groups/162177957451229/,1 603,Active
70,2015-12-9,RWT Nordland,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Nordland,FB Closed Group,https://www.facebook.com/groups/456688084504119/,1 062,Active
91,2015-12-9,"RWT Notodden, Tinn, Hjartdal og omegn",,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Telemark,FB Closed Group,https://www.facebook.com/groups/1471491326512053/, 937,Active
88,2015-12-9,RWT Oppdal,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Sør-Trøndelag,FB Closed Group,https://www.facebook.com/groups/1650283218588529/, 392,Active
79,2015-12-9,RWT Oslo,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Oslo,FB Closed Group,https://www.facebook.com/groups/1652749674961851/,10 562,Active
51,2015-12-9,RWT Ringerike,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Buskerud,FB Closed Group,https://www.facebook.com/groups/1013524255364557/, 404,Active
82,2015-12-9,RWT Rogaland,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Rogaland,FB Public Group,https://www.facebook.com/groups/825022230945187/,3 058,Active
89,2015-12-9,RWT Røros,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Sør-Trøndelag,FB Closed Group,https://www.facebook.com/groups/153933464946683/,1 802,Active
52,2015-12-9,RWT Røyken,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Buskerud,FB Closed Group,https://www.facebook.com/groups/905644342843256/, 758,Active
92,2015-12-9,RWT Skien,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Telemark,Down,https://www.facebook.com/groups/1642986219272664/, 0,Not Active
83,2015-12-9,RWT Sogn og Fjordane,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Sogn og Fjordane,FB Closed Group,https://www.facebook.com/groups/429085323930235/,1 048,Active
68,2015-12-9,RWT Sunnmøre,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Møre og Romsdal,FB Closed Group,https://www.facebook.com/groups/422527001266406/,1 558,Active
102,2015-12-9,RWT Sweden,,Swedish refugee efforts,Swedish,Sweden,Sweden,FB Public Group,https://www.facebook.com/groups/refugeeswelcome.sweden/,2 759,Active
84,2015-12-9,RWT Sør-Trøndelag,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Sør-Trøndelag,FB Closed Group,https://www.facebook.com/groups/1620198658245298/,5 284,Active
90,2015-12-9,RWT Telemark,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Telemark,FB Closed Group,https://www.facebook.com/groups/1622364297980216/,1 914,Active
61,2015-12-9,RWT Toten,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Hedmark og Oppland,FB Closed Group,https://www.facebook.com/groups/1634182076865647/, 298,Active
93,2015-12-9,RWT Troms,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Troms,FB Closed Group,https://www.facebook.com/groups/1635570796728395/,3 007,Active
62,2015-12-9,RWT Tynset / Savalen,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Hedmark og Oppland,FB Closed Group,https://www.facebook.com/groups/925896000824695/, 614,Active
63,2015-12-9,RWT Valdres,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Hedmark og Oppland,FB Closed Group,https://www.facebook.com/groups/490353081135690/, 665,Active
94,2015-12-9,RWT Vest-Agder,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Vest-Agder,FB Closed Group,https://www.facebook.com/groups/1646316925635043/,7 581,Active
43,2015-12-9,RWT Vestby/Son,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Akershus,FB Closed Group,https://www.facebook.com/groups/883019411778474/, 633,Active
98,2015-12-9,RWT Vestfold,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Vestfold,FB Closed Group,https://www.facebook.com/groups/1693033317597998/,2 571,Active
78,2015-12-9,RWT Vestvågøy,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Nordland,FB Closed Group,https://www.facebook.com/groups/701257623351989/,1 369,Active
77,2015-12-9,RWT Vågan,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Nordland,FB Public Group,https://www.facebook.com/groups/1681588885397517/,1 093,Active
99,2015-12-9,RWT Østfold,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Østfold,FB Community,https://www.facebook.com/pages/Refugees-Welcome-to-%C3%98stfold/1478089099159284,6 234,Active
44,2015-12-9,RWT Øvre Romerike,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Akershus,FB Closed Group,https://www.facebook.com/groups/989673107750494/, 321,Active
53,2015-12-9,RWT Øvre/Nedre Eiker,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Buskerud,FB Closed Group,https://www.facebook.com/groups/512081568957761/, 150,Active
179,2015-12-12,Sakip Şakir,Sakip Şakir,Providing good upto date information on Izmir camp and handing out non food items,English,Turkey,Izmir,FB page,https://www.facebook.com/thaqibshaker, 47,Active
31,2015-12-9,Search and Find your Family for Refugees,,"For refugees who have lost their family, or a family member, they will share on their behalf to the page","English, German",Austria ,St Polten ,FB public group,https://www.facebook.com/searchandfindrefugees/timeline,6 728,Active
152,2015-11-24,Segítsünk együtt a menekülteknek,,Run by volunteers,,Hungary,Budapest,Facebook,https://www.facebook.com/groups/1603043899969611/,10 062,Closed Group
28,2015-12-8,Side by Side : Humanitarian aid to refugees in Calais,,"They are a bit vague just say they are supporting Calais refuges and their website isn't working, not my best link ever, but figured it was still worth adding.",English,United Kingdom,Essex,FB public group,https://www.facebook.com/SidebySiderefugees/?hc_location=ufi, 929,Active
180,2015-12-13,"Slovenia helps refugees: ORGANISATION, COORDINATION, TECHNICAL SUPPORT",,Organisational coordination for the humanitarian staff of the field,English,Slovenia,,FB closed group,https://www.facebook.com/groups/1643048019276346/, 560,Active
10,2015-12-14,Solidarity with Refugees - Volunteer group Rodopi,,Distributing Aid in Kavala,Greek,Greece,Kavala,FB closed group,https://www.facebook.com/groups/1630509823903049/, 490,
150,2015-11-24,SOS RÖSZKE! AKUTHILFE,,Der geheime KunstSalon,,Hungary,Röskei,Facebook event,https://www.facebook.com/Der-geheime-KunstSalon-1758757164348604/,4 571,Active
136,2015-11-24,Sozialbehörde/BASFI,,,,Germany,,Website,http://www.foerdernundwohnen.de/unternehmen/ehrenamt-freiwilligenengagement/wohnen.html,,03.09.2015
137,2015-11-24,Soziales Farmsen – Helfen statt Hetzen,,,,Germany,,Facebook,https://www.facebook.com/groups/729872997094334/, 929,Closed Group
138,2015-11-24,Sprachbrücke-Hamburg e.V.,,,,Germany,Hamburg,Website,http://www.sprachbruecke-hamburg.de/,,
206,2015-12-17,Stateless on Lesbos,,"Video featuring: Athens - Victoria Square / Olympic stadium - 2:30
PIKPA camp - 5mins
NOrth coast - 7.30 
Moria registration - 16mins

Adventist Help - north coast (8:45mins)
Boat Refugee Foundation - 11:30mins",English,Greece,Lesbos,,https://www.youtube.com/watch?v=VhGdqNXTvho&feature=youtu.be,4 078,
110,2015-11-24,Suomi Says Welcome,,,,Finland,,Facebook,https://www.facebook.com/groups/399135516948800/?fref=ts, 76,Closed Group
194,2015-12-15,Syrian Refugee Crisis Appeal,,"A page for people to donate, volunteer, be further educated about and kept up to date with the Syrian Refugee Crisis Appeal and Upcoming events",English,Australia,,FB Community,https://www.facebook.com/SyrianRefugeeCrisisAppeal/timeline, 241,Active
149,2015-11-24,Syrians in Nederland,,Syrians in Nederland,,Holland,,Facebook,https://www.facebook.com/SYR.IN.NEDRLAND/timeline,22 182,Active
104,2015-11-24,Techfugees,,"Tech community response to the European refugee crisis, involving a network of concerned individuals and organizations",English,Europe,EUROPE,Facebook,https://www.facebook.com/groups/Techfugees/,2 316,Active
139,2015-11-24,The Changer,,,,Germany,Germany,Website,http://www.thechanger.org/de/ressourcen/wie-kann-ich-mein-fluchtlingsprojekt-finanzieren/,,30.09.2015
195,2015-12-16,The CK Team Lesvos Refugees,,"Helping refugees on the island of Lesvos, we are a volunteer team with a specific task of guiding survivors of sea crossings to the MSF camp",English,Greece,Lesvos,FB page,https://www.facebook.com/theckteamrefugeeslesvos/,1 123,Active
146,2015-11-24,The Syria Campaign,,,,Global,,Facebook,https://www.facebook.com/TheSyriaCampaign/timeline,45 766,Active
170,2015-12-11,"Translators for Lesvos, Greece ",,"Connecting volunteers in NYC who can translate Farsi, Arabic, and Urdu for NGOs that currently need translators in Moria, Lesvos, Greece ","English, Arabic, Farsi, Urdu",Greece,"Moria, Lesvos",FB public group,https://www.facebook.com/groups/410090082531599/, 73,Active 
164,2015-11-24,Travel offers to Europe,,N/A,Arabic,Russia,,Facebook,https://www.facebook.com/groups/354282631367961/, 35,Active
159,2015-11-24,Travel to Europe from Moscov,,"""Brothers from Iraq""",Arabic,Russia,Moscov,Facebook,https://www.facebook.com/%D8%B3%D9%81%D8%B1-%D8%A7%D9%84%D9%89-%D8%A7%D9%88%D8%B1%D9%88%D8%A8%D8%A3-%D9%85%D9%86-%D9%85%D9%88%D8%B3%D9%83%D9%88-904221096312350/?hc_location=ufi,3 219,Active
17,2015-12-7,Umap/OSM,,Refugee Crisis Balkans and Central Europe,English,Balkan,,Map,https://umap.openstreetmap.fr/en/map/refugee-crisis-balkans-and-central-europe_55091#7/45.718/18.973,,Active
16,2015-12-7,Umap/OSM,,"Refugee Crisis - facebook, twitter, online news",EnglishFrench,Greece,,Map,https://umap.openstreetmap.fr/fr/map/refugee-crisis-facebook-twitter-online-news_60860#7/46.449/19.061,,Active
171,2015-12-11,United Refugee Support Slovenia ,,"United Refugee Support (Slovenia) is a team of international volunteers supporting refugees in Slovenia with supplies, info, and other necessities ","English, Slovenian",Slovenia ,,FB page ,https://www.facebook.com/internationalrefugeesupportslovenia/timeline, 245,Active 
182,2015-12-13,United Volunteers in Presevo,,"UVP is a non-registered, non-governmental organization designed to coordinate and facilitate volunteer efforts at the Preševo One Stop Centre. UVP provides and support for international volunteers, enabling them to work together and make the greatest, most responsive impact on behalf of the 2,500-9,000 individuals that pass through the One Stop Centre every day.",English,Serbia,Presevo,FB page,https://www.facebook.com/unitedvolunteersinpresevo/info/, 450,Active
187,2015-12-14,"Uniting Volunteers, travel buddies and funders - Refugee Crisis",,"his group if for people who are looking to travel together to volunteer at Refugee Camps, those who are looking to volunteer in the UK and those who wish to donate to fund individual projects or travel costs.",English,United Kingdom,,FB closed group,https://www.facebook.com/groups/917159571690430/,1 659,
140,2015-11-24,Unterstützung für Flüchtlinge - Netzwerk Hamburg,,,,Germany,Hamburg,Facebook,https://www.facebook.com/groups/820120024712364/,6 935,Closed Group
101,2015-12-9,Venligboerne Flygtningehjælp,,Danish refugee efforts,Danish,Denmark,Denmark,FB Closed Group,https://www.facebook.com/groups/1496153803995409/,21 484,Active
7,2015-12-6,VluchtKonvooi Community,VluchtKonvooi Community,Photos and video footage from Idomeni Greece. The VluchtKonvooi is bringing donations to refugees coming to Europe & helping them along their way.,English,Netherlands,Amsterdam,FB page,https://www.facebook.com/VluchtKonvooi-117288241959632/, 888,Active
191,2015-12-15,Volunteer trauma support training,,Organising events and support for volunteers involved in the refugee crisis across Europe.,English,United Kingdom,,FB closed group,https://www.facebook.com/groups/452858784886276/, 815,
197,2015-12-16,Volunteers in Dimitrovgrad,,Group with news from Dimitrovgrad,English,Serbia,Dimitrovgrad,FB public group,https://www.facebook.com/groups/1649104262020982/?ref=suggested_groups, 177,Active
25,2015-12-8,Vrijwilligers i Duinkerke,Volunteers in Dunkirk,"Ik heb deze pagina aangemaakt voor alle vrijwilligers die daar helpen, wat daar gebeurd is prachtig werk van iedereen",Dutch/English,France,Dunkerque,FB open group,https://www.facebook.com/groups/650914451717247/?__mref=message, 337,Active
141,2015-11-24,Welcome Dinner (Hamburg),,,,Germany,Hamburg,Website,http://welcome-dinner.de/,,30.10.2015
142,2015-11-24,Wilhelmstadt Hilft! (Berlin-Spandau),,,,Germany,Berlin,Website,https://www.wilhelmstadt-hilft.org/,,18.11.2015
143,2015-11-24,Wir für Niendorf! Ehrenamtliches Engagement für Flüchtlinge,,,,Germany,,Facebook,https://www.facebook.com/groups/1528360247404780/,1 288,Closed Group
144,2015-11-24,Workeer,,,,Germany,,Website,http://www.workeer.de/,,Active
147,2015-11-24,Ανακοινώσεις,RefugeesWelcome GR,"Here we publish announcements of reception initiatives and relief of refugees, news and good practices.",Greek,Greece,,Facebook,https://www.facebook.com/RefugeesWelcomeGR/timeline,13 287,Active
208,2015-12-18,Διασυλλογική κίνηση Καβάλας για υποστήριξη Σύρων προσφύγων,Between Kavala teams to help refugees,FB page collecting local associations operating in Kavala for aid collection and distribution,Greek,Greece,Kavala,FB Community,https://www.facebook.com/kavala4refugees/timeline,,Active
210,2015-12-31,Sea of Solidarity,Sea of Solidarity,"Sea of Solidarity (SoS) was founded by people who went to Lesvos, and witnessed a humanitarian crisis, with thousands of people arriving every day",English,United States,Lesvos,Web page,http://seaofsolidarity.org,,Active
212,2016-1-4,Coffee and Meet in Frankfurt,,A platform for locals in Frankfurt to reach out to the refugees that have been settled in Frankfurt areas,"German, English",Germany,Frankfurt,FB public group,https://www.facebook.com/groups/1545830695741300/members/,,
213,2016-1-9,Sid refugee spot,Sid refugee spot,Social media connection site for the refugeemap.com,"English, German",N/A,N/A,FB Puplic Place,https://www.facebook.com/Sid-refugee-spot-volunteer-check-in-643901752419744/, 79,Active
214,2016-1-11,Action Emploi Réfugiés,Emply Refugees Action,"Action Emploi Réfugiés is a virtual meeting place for employers, both individuals and businesses, and refugees trying to find jobs","French, Arabic",France,N/A,FB Closed Group,https://www.facebook.com/groups/actionemploirefugies/, 311,Active
215,2016-1-21,Refugees welcome to the Arctic,,Action group supporting refugees entering Norway from Russia at Storskog border crossing,Norwegian,Norway,Storskog,FB Community,https://www.facebook.com/refugeeswelcometothearctic/,2 161,Active
